Country,Code,Year,Aquaculture (tonnes),Fisheries (tonnes),Consumption (kg per capita),Artisanal,Industrial,Recreational,Subsistence,Stocks_within,Stocks_overexploited,p_increase_aqua,p_increase_fish,p_increase_consumption,p_increase_artisanal,p_increase_industrial,p_increase_recreational,p_increase_subsistence,p_increase_share_within,p_increase_share_over
Afghanistan,AFG,1969,60,400,0.04,,,,,,,,,,,,,,,
Afghanistan,AFG,1970,60,400,0.04,,,,,,,0.00%,0.00%,0.00%,,,,,,
Afghanistan,AFG,1971,60,500,0.05,,,,,,,0.00%,25.00%,25.00%,,,,,,
Afghanistan,AFG,1972,60,500,0.05,,,,,,,0.00%,0.00%,0.00%,,,,,,
Afghanistan,AFG,1973,60,500,0.05,,,,,,,0.00%,0.00%,0.00%,,,,,,
Afghanistan,AFG,1974,60,500,0.05,,,,,,,0.00%,0.00%,0.00%,,,,,,
Afghanistan,AFG,1975,60,600,0.05,,,,,,,0.00%,20.00%,0.00%,,,,,,
Afghanistan,AFG,1976,170,600,0.06,,,,,,,183.33%,0.00%,20.00%,,,,,,
Afghanistan,AFG,1977,170,600,0.06,,,,,,,0.00%,0.00%,0.00%,,,,,,
Afghanistan,AFG,1978,170,600,0.06,,,,,,,0.00%,0.00%,0.00%,,,,,,
Afghanistan,AFG,1979,170,600,0.06,,,,,,,0.00%,0.00%,0.00%,,,,,,
Afghanistan,AFG,1980,170,700,0.07,,,,,,,0.00%,16.67%,16.67%,,,,,,
Afghanistan,AFG,1981,170,700,0.07,,,,,,,0.00%,0.00%,0.00%,,,,,,
Afghanistan,AFG,1982,170,700,0.07,,,,,,,0.00%,0.00%,0.00%,,,,,,
Afghanistan,AFG,1983,170,800,0.08,,,,,,,0.00%,14.29%,14.29%,,,,,,
Afghanistan,AFG,1984,170,800,0.08,,,,,,,0.00%,0.00%,0.00%,,,,,,
Afghanistan,AFG,1985,170,800,0.08,,,,,,,0.00%,0.00%,0.00%,,,,,,
Afghanistan,AFG,1986,170,800,0.09,,,,,,,0.00%,0.00%,12.50%,,,,,,
Afghanistan,AFG,1987,170,1000,0.11,,,,,,,0.00%,25.00%,22.22%,,,,,,
Afghanistan,AFG,1988,170,1000,0.11,,,,,,,0.00%,0.00%,0.00%,,,,,,
Afghanistan,AFG,1989,170,1000,0.1,,,,,,,0.00%,0.00%,-9.09%,,,,,,
Afghanistan,AFG,1990,300,1100,0.12,,,,,,,76.47%,10.00%,20.00%,,,,,,
Afghanistan,AFG,1991,300,1100,0.11,,,,,,,0.00%,0.00%,-8.33%,,,,,,
Afghanistan,AFG,1992,300,1200,0.11,,,,,,,0.00%,9.09%,0.00%,,,,,,
Afghanistan,AFG,1993,300,1200,0.1,,,,,,,0.00%,0.00%,-9.09%,,,,,,
Afghanistan,AFG,1994,300,1300,0.1,,,,,,,0.00%,8.33%,0.00%,,,,,,
Afghanistan,AFG,1995,300,1300,0.09,,,,,,,0.00%,0.00%,-10.00%,,,,,,
Afghanistan,AFG,1996,300,1300,0.09,,,,,,,0.00%,0.00%,0.00%,,,,,,
Afghanistan,AFG,1997,300,1250,0.08,,,,,,,0.00%,-3.85%,-11.11%,,,,,,
Afghanistan,AFG,1998,300,1200,0.08,,,,,,,0.00%,-4.00%,0.00%,,,,,,
Afghanistan,AFG,1999,300,1200,0.08,,,,,,,0.00%,0.00%,0.00%,,,,,,
Afghanistan,AFG,2000,300,1000,0.06,,,,,,,0.00%,-16.67%,-25.00%,,,,,,
Afghanistan,AFG,2001,450,800,0.06,,,,,,,50.00%,-20.00%,0.00%,,,,,,
Afghanistan,AFG,2002,450,900,0.06,,,,,,,0.00%,12.50%,0.00%,,,,,,
Afghanistan,AFG,2003,450,900,0.06,,,,,,,0.00%,0.00%,0.00%,,,,,,
Afghanistan,AFG,2004,450,1000,0.06,,,,,,,0.00%,11.11%,0.00%,,,,,,
Afghanistan,AFG,2005,450,1000,0.06,,,,,,,0.00%,0.00%,0.00%,,,,,,
Afghanistan,AFG,2006,450,1000,0.06,,,,,,,0.00%,0.00%,0.00%,,,,,,
Afghanistan,AFG,2007,1050,1000,0.08,,,,,,,133.33%,0.00%,33.33%,,,,,,
Afghanistan,AFG,2008,1050,1000,0.08,,,,,,,0.00%,0.00%,0.00%,,,,,,
Afghanistan,AFG,2009,1650,1000,0.07,,,,,,,57.14%,0.00%,-12.50%,,,,,,
Afghanistan,AFG,2010,2250,1000,0.07,,,,,,,36.36%,0.00%,0.00%,,,,,,
Afghanistan,AFG,2011,2850,1150,0.07,,,,,,,26.67%,15.00%,0.00%,,,,,,
Afghanistan,AFG,2012,3480,1300,0.07,,,,,,,22.11%,13.04%,0.00%,,,,,,
Afghanistan,AFG,2013,4110,1450,0.07,,,,,,,18.10%,11.54%,0.00%,,,,,,
Afghanistan,AFG,2014,4760,1600,0.19,,,,,,,15.82%,10.34%,171.43%,,,,,,
Afghanistan,AFG,2015,5450,1750,0.21,,,,,,,14.50%,9.38%,10.53%,,,,,,
Afghanistan,AFG,2016,6150,1900,0.23,,,,,,,12.84%,8.57%,9.52%,,,,,,
Afghanistan,AFG,2017,7000,2000,0.25,,,,,,,13.82%,5.26%,8.70%,,,,,,
Albania,ALB,1961,0,3200,1.92,,,,,,,,,,,,,,,
Albania,ALB,1962,0,2800,1.63,,,,,,,,-12.50%,-15.10%,,,,,,
Albania,ALB,1963,0,3000,1.69,,,,,,,,7.14%,3.68%,,,,,,
Albania,ALB,1964,0,3000,1.65,,,,,,,,0.00%,-2.37%,,,,,,
Albania,ALB,1965,0,4000,2.13,,,,,,,,33.33%,29.09%,,,,,,
Albania,ALB,1966,0,4000,2.08,,,,,,,,0.00%,-2.35%,,,,,,
Albania,ALB,1967,0,5000,2.53,,,,,,,,25.00%,21.63%,,,,,,
Albania,ALB,1968,0,6000,2.95,,,,,,,,20.00%,16.60%,,,,,,
Albania,ALB,1969,0,7000,3.36,,,,,,,,16.67%,13.90%,,,,,,
Albania,ALB,1970,0,8000,3.74,,,,,,,,14.29%,11.31%,,,,,,
Albania,ALB,1971,0,8000,3.64,,,,,,,,0.00%,-2.67%,,,,,,
Albania,ALB,1972,0,8000,3.55,,,,,,,,0.00%,-2.47%,,,,,,
Albania,ALB,1973,3,7997,3.46,,,,,,,,-0.04%,-2.54%,,,,,,
Albania,ALB,1974,45,8455,3.59,,,,,,,1400.00%,5.73%,3.76%,,,,,,
Albania,ALB,1975,85,8415,3.5,,,,,,,88.89%,-0.47%,-2.51%,,,,,,
Albania,ALB,1976,123,8377,3.42,,,,,,,44.71%,-0.45%,-2.29%,,,,,,
Albania,ALB,1977,164,8336,3.34,,,,,,,33.33%,-0.49%,-2.34%,,,,,,
Albania,ALB,1978,193,8807,3.45,,,,,,,17.68%,5.65%,3.29%,,,,,,
Albania,ALB,1979,260,8740,3.37,,,,,,,34.72%,-0.76%,-2.32%,,,,,,
Albania,ALB,1980,339,8661,3.29,,,,,,,30.38%,-0.90%,-2.37%,,,,,,
Albania,ALB,1981,455,8921,3.35,,,,,,,34.22%,3.00%,1.82%,,,,,,
Albania,ALB,1982,699,8812,3.21,,,,,,,53.63%,-1.22%,-4.18%,,,,,,
Albania,ALB,1983,1162,8653,3.3,,,,,,,66.24%,-1.80%,2.80%,,,,,,
Albania,ALB,1984,1197,6809,2.59,,,,,,,3.01%,-21.31%,-21.52%,,,,,,
Albania,ALB,1985,1208,10191,3.7,,,,,,,0.92%,49.67%,42.86%,,,,,,
Albania,ALB,1986,2165,9757.200195,2.88,,,,,,,79.22%,-4.26%,-22.16%,,,,,,
Albania,ALB,1987,2368,10766.40039,3.24,,,,,,,9.38%,10.34%,12.50%,,,,,,
Albania,ALB,1988,3732,10827.2998,3.35,,,,,,,57.60%,0.57%,3.40%,,,,,,
Albania,ALB,1989,2604,9357.400391,2.56,,,,,,,-30.23%,-13.58%,-23.58%,,,,,,
Albania,ALB,1990,4961,10054.59961,2.19,,,,,,,90.51%,7.45%,-14.45%,,,,,,
Albania,ALB,1991,859,3012,0.59,,,,,,,-82.68%,-70.04%,-73.06%,,,,,,
Albania,ALB,1992,397,2696.199951,0.71,,,,,,,-53.78%,-10.48%,20.34%,,,,,,
Albania,ALB,1993,389,2500,0.8,,,,,,,-2.02%,-7.28%,12.68%,,,,,,
Albania,ALB,1994,395,2100,0.88,,,,,,,1.54%,-16.00%,10.00%,,,,,,
Albania,ALB,1995,340,1380.300049,1.39,,,,,,,-13.92%,-34.27%,57.95%,,,,,,
Albania,ALB,1996,323,2126.199951,1.02,,,,,,,-5.00%,54.04%,-26.62%,,,,,,
Albania,ALB,1997,97,1013.799988,1.15,,,,,,,-69.97%,-52.32%,12.75%,,,,,,
Albania,ALB,1998,124,2683.5,1.71,,,,,,,27.84%,164.70%,48.70%,,,,,,
Albania,ALB,1999,310,2747.899902,2.66,,,,,,,150.00%,2.40%,55.56%,,,,,,
Albania,ALB,2000,307,3328,3.28,,,,,,,-0.97%,21.11%,23.31%,,,,,,
Albania,ALB,2001,286,3311.199951,3.28,,,,,,,-6.84%,-0.50%,0.00%,,,,,,
Albania,ALB,2002,860,3656.800049,4.55,,,,,,,200.70%,10.44%,38.72%,,,,,,
Albania,ALB,2003,1473,2801.600098,4.35,,,,,,,71.28%,-23.39%,-4.40%,,,,,,
Albania,ALB,2004,1569,4549.5,4.64,,,,,,,6.52%,62.39%,6.67%,,,,,,
Albania,ALB,2005,1473,5000,4.8,,,,,,,-6.12%,9.90%,3.45%,,,,,,
Albania,ALB,2006,2057,5652.299805,4.77,,,,,,,39.65%,13.05%,-0.63%,,,,,,
Albania,ALB,2007,2092,5413.399902,5.24,,,,,,,1.70%,-4.23%,9.85%,,,,,,
Albania,ALB,2008,2000,5365,5.48,,,,,,,-4.40%,-0.89%,4.58%,,,,,,
Albania,ALB,2009,2317,5811,5.9,,,,,,,15.85%,8.31%,7.66%,,,,,,
Albania,ALB,2010,2520,5132.200195,5.73,,,,,,,8.76%,-11.68%,-2.88%,,,,,,
Albania,ALB,2011,2345,4805.200195,5.86,,,,,,,-6.94%,-6.37%,2.27%,,,,,,
Albania,ALB,2012,3450,8605.200195,4.97,,,,,,,47.12%,79.08%,-15.19%,,,,,,
Albania,ALB,2013,3700,8973.5,4.87,,,,,,,7.25%,4.28%,-2.01%,,,,,,
Albania,ALB,2014,4000,8705.5,5.34,,,,,,,8.11%,-2.99%,9.65%,,,,,,
Albania,ALB,2015,3495,7855.5,5.35,,,,,,,-12.63%,-9.76%,0.19%,,,,,,
Albania,ALB,2016,4750,7861.700195,5.36,,,,,,,35.91%,0.08%,0.19%,,,,,,
Albania,ALB,2017,4430,8564.200195,5.36,,,,,,,-6.74%,8.94%,0.00%,,,,,,
Algeria,DZA,1961,0,30400,3.31,,,,,,,,,,,,,,,
Algeria,DZA,1962,0,21500,1.93,,,,,,,,-29.28%,-41.69%,,,,,,
Algeria,DZA,1963,0,16900,1.36,,,,,,,,-21.40%,-29.53%,,,,,,
Algeria,DZA,1964,0,17300,1.52,,,,,,,,2.37%,11.76%,,,,,,
Algeria,DZA,1965,0,18300,1.36,,,,,,,,5.78%,-10.53%,,,,,,
Algeria,DZA,1966,0,20350,1.52,,,,,,,,11.20%,11.76%,,,,,,
Algeria,DZA,1967,0,21150,1.4,,,,,,,,3.93%,-7.89%,,,,,,
Algeria,DZA,1968,0,18250,1.13,,,,,,,,-13.71%,-19.29%,,,,,,
Algeria,DZA,1969,0,23150,1.44,,,,,,,,26.85%,27.43%,,,,,,
Algeria,DZA,1970,0,24234,1.46,,,,,,,,4.68%,1.39%,,,,,,
Algeria,DZA,1971,0,23715,1.38,,,,,,,,-2.14%,-5.48%,,,,,,
Algeria,DZA,1972,0,28313,1.7,,,,,,,,19.39%,23.19%,,,,,,
Algeria,DZA,1973,0,31243,1.7,,,,,,,,10.35%,0.00%,,,,,,
Algeria,DZA,1974,0,35758,2.06,,,,,,,,14.45%,21.18%,,,,,,
Algeria,DZA,1975,0,37693,2.15,,,,,,,,5.41%,4.37%,,,,,,
Algeria,DZA,1976,0,35122,1.92,,,,,,,,-6.82%,-10.70%,,,,,,
Algeria,DZA,1977,0,43475,2.27,,,,,,,,23.78%,18.23%,,,,,,
Algeria,DZA,1978,0,34143,1.86,,,,,,,,-21.47%,-18.06%,,,,,,
Algeria,DZA,1979,0,38678,2.1,,,,,,,,13.28%,12.90%,,,,,,
Algeria,DZA,1980,0,48000,2.47,,,,,,,,24.10%,17.62%,,,,,,
Algeria,DZA,1981,0,56000,2.9,,,,,,,,16.67%,17.41%,,,,,,
Algeria,DZA,1982,0,64500,3.25,,,,,,,,15.18%,12.07%,,,,,,
Algeria,DZA,1983,2,65000,3.28,,,,,,,,0.78%,0.92%,,,,,,
Algeria,DZA,1984,95,65500.89844,3.19,,,,,,,4650.00%,0.77%,-2.74%,,,,,,
Algeria,DZA,1985,141,66000.60156,3.43,,,,,,,48.42%,0.76%,7.52%,,,,,,
Algeria,DZA,1986,250,65261.80078,3.57,,,,,,,77.30%,-1.12%,4.08%,,,,,,
Algeria,DZA,1987,274,94093.79688,4.26,,,,,,,9.60%,44.18%,19.33%,,,,,,
Algeria,DZA,1988,304,106437.2969,4.41,,,,,,,10.95%,13.12%,3.52%,,,,,,
Algeria,DZA,1989,368,99187.42188,4.07,,,,,,,21.05%,-6.81%,-7.71%,,,,,,
Algeria,DZA,1990,407,90196.24219,3.51,,,,,,,10.60%,-9.06%,-13.76%,,,,,,
Algeria,DZA,1991,150,79702,2.95,,,,,,,-63.14%,-11.63%,-15.95%,,,,,,
Algeria,DZA,1992,147,95273.91406,3.44,,,,,,,-2.00%,19.54%,16.61%,,,,,,
Algeria,DZA,1993,300,101899.9688,3.61,,,,,,,104.08%,6.95%,4.94%,,,,,,
Algeria,DZA,1994,389,135409.8594,4.73,,,,,,,29.67%,32.89%,31.02%,,,,,,
Algeria,DZA,1995,369,105878.6641,3.9,,,,,,,-5.14%,-21.81%,-17.55%,,,,,,
Algeria,DZA,1996,322,81995.79688,2.91,,,,,,,-12.74%,-22.56%,-25.38%,,,,,,
Algeria,DZA,1997,322,91585.39844,3.17,,,,,,,0.00%,11.70%,8.93%,,,,,,
Algeria,DZA,1998,283,92337,3.28,,,,,,,-12.11%,0.82%,3.47%,,,,,,
Algeria,DZA,1999,250,102399,3.58,,,,,,,-11.66%,10.90%,9.15%,,,,,,
Algeria,DZA,2000,351,113159.8984,3.84,,,,,,,40.40%,10.51%,7.26%,,,,,,
Algeria,DZA,2001,454,133628,4.46,,,,,,,29.34%,18.09%,16.15%,,,,,,
Algeria,DZA,2002,476,134324.7969,4.5,,,,,,,4.85%,0.52%,0.90%,,,,,,
Algeria,DZA,2003,417,140959,5.03,,,,,,,-12.39%,4.94%,11.78%,,,,,,
Algeria,DZA,2004,586,113464.2031,4.23,,,,,,,40.53%,-19.51%,-15.90%,,,,,,
Algeria,DZA,2005,368,126260.2969,4.45,,,,,,,-37.20%,11.28%,5.20%,,,,,,
Algeria,DZA,2006,288,145763.7969,5.12,,,,,,,-21.74%,15.45%,15.06%,,,,,,
Algeria,DZA,2007,405,147363.125,5.13,,,,,,,40.63%,1.10%,0.20%,,,,,,
Algeria,DZA,2008,2779.916016,138862.4375,4.7,,,,,,,586.40%,-5.77%,-8.38%,,,,,,
Algeria,DZA,2009,2163.231934,127777,4.75,,,,,,,-22.18%,-7.98%,1.06%,,,,,,
Algeria,DZA,2010,1758.741943,93464,3.81,,,,,,,-18.70%,-26.85%,-19.79%,,,,,,
Algeria,DZA,2011,2245.77002,101815,3.94,,,,,,,27.69%,8.93%,3.41%,,,,,,
Algeria,DZA,2012,2644.001953,105621,3.99,,,,,,,17.73%,3.74%,1.27%,,,,,,
Algeria,DZA,2013,2192.881104,101057,3.92,,,,,,,-17.06%,-4.32%,-1.75%,,,,,,
Algeria,DZA,2014,2410.9729,97828,4.4,,,,,,,9.95%,-3.20%,12.24%,,,,,,
Algeria,DZA,2015,1332.98999,95946,4.16,,,,,,,-44.71%,-1.92%,-5.45%,,,,,,
Algeria,DZA,2016,1376,100180,3.92,,,,,,,3.23%,4.41%,-5.77%,,,,,,
Algeria,DZA,2017,1416,104100,3.86,,,,,,,2.91%,3.91%,-1.53%,,,,,,
Angola,AGO,2000,5,239351,12.06,,,,,,,,,,,,,,,
Angola,AGO,2001,11,254553,15.21,,,,,,,120.00%,6.35%,26.12%,,,,,,
Angola,AGO,2002,51,255443,16,,,,,,,363.64%,0.35%,5.19%,,,,,,
Angola,AGO,2003,72,212033,13.24,,,,,,,41.18%,-16.99%,-17.25%,,,,,,
Angola,AGO,2004,92,240002,13.34,,,,,,,27.78%,13.19%,0.76%,,,,,,
Angola,AGO,2005,126,202616,12.01,,,,,,,36.96%,-15.58%,-9.97%,,,,,,
Angola,AGO,2006,156,225741,13.92,,,,,,,23.81%,11.41%,15.90%,,,,,,
Angola,AGO,2007,190,306436,16.78,,,,,,,21.79%,35.75%,20.55%,,,,,,
Angola,AGO,2008,190,305860,17.07,,,,,,,0.00%,-0.19%,1.73%,,,,,,
Angola,AGO,2009,260,272042,16.17,,,,,,,36.84%,-11.06%,-5.27%,,,,,,
Angola,AGO,2010,310,310000,16.19,,,,,,,19.23%,13.95%,0.12%,,,,,,
Angola,AGO,2011,310,342000,16.32,,,,,,,0.00%,10.32%,0.80%,,,,,,
Angola,AGO,2012,310,374000,15.82,,,,,,,0.00%,9.36%,-3.06%,,,,,,
Angola,AGO,2013,57,407000,15.34,,,,,,,-81.61%,8.82%,-3.03%,,,,,,
Angola,AGO,2014,305,442084,26.36,,,,,,,435.09%,8.62%,71.84%,,,,,,
Angola,AGO,2015,872,495232,22.72,,,,,,,185.90%,12.02%,-13.81%,,,,,,
Angola,AGO,2016,655,486490,19.52,,,,,,,-24.89%,-1.77%,-14.08%,,,,,,
Angola,AGO,2017,1339,531575,20.22,,,,,,,104.43%,9.27%,3.59%,,,,,,
Antigua and Barbuda,ATG,2011,4,3055,54.57,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,2012,10,5951,53.96,,,,,,,150.00%,94.80%,-1.12%,,,,,,
Antigua and Barbuda,ATG,2013,11,4605,53.36,,,,,,,10.00%,-22.62%,-1.11%,,,,,,
Antigua and Barbuda,ATG,2014,13,3114,54.17,,,,,,,18.18%,-32.38%,1.52%,,,,,,
