time,value,key
1950,7526795,Artisanal
1951,8278304,Artisanal
1952,8272109,Artisanal
1953,8469284,Artisanal
1954,9226926,Artisanal
1955,9545554,Artisanal
1956,10303408,Artisanal
1957,10425695,Artisanal
1958,10172920,Artisanal
1959,10385711,Artisanal
1960,10703245,Artisanal
1961,10846177,Artisanal
1962,11015370,Artisanal
1963,11005246,Artisanal
1964,11303832,Artisanal
1965,11653978,Artisanal
1966,12084658,Artisanal
1967,12386026,Artisanal
1968,12303383,Artisanal
1969,12211407,Artisanal
1970,12365128,Artisanal
1971,12398298,Artisanal
1972,12753562,Artisanal
1973,13688372,Artisanal
1974,13309012,Artisanal
1975,13432664,Artisanal
1976,13761132,Artisanal
1977,13892726,Artisanal
1978,14360786,Artisanal
1979,14616134,Artisanal
1980,14688464,Artisanal
1981,15279447,Artisanal
1982,15220824,Artisanal
1983,15300068,Artisanal
1984,16074619,Artisanal
1985,16380243,Artisanal
1986,16227297,Artisanal
1987,17449809,Artisanal
1988,17418253,Artisanal
1989,17620239,Artisanal
1990,17734811,Artisanal
1991,17773521,Artisanal
1992,18417117,Artisanal
1993,18031035,Artisanal
1994,18723265,Artisanal
1995,19665232,Artisanal
1996,20787945,Artisanal
1997,20401848,Artisanal
1998,20332081,Artisanal
1999,20588769,Artisanal
2000,19735866,Artisanal
2001,20046446,Artisanal
2002,19742034,Artisanal
2003,20568530,Artisanal
2004,21076208,Artisanal
2005,20966689,Artisanal
2006,21417851,Artisanal
2007,21097388,Artisanal
2008,21111836,Artisanal
2009,21828623,Artisanal
2010,21586606,Artisanal
1950,14566338,Industrial
1951,15417937,Industrial
1952,16463942,Industrial
1953,17163789,Industrial
1954,18340199,Industrial
1955,18728089,Industrial
1956,19902604,Industrial
1957,20030089,Industrial
1958,20520801,Industrial
1959,23422702,Industrial
1960,25853941,Industrial
1961,30521101,Industrial
1962,33658918,Industrial
1963,36093501,Industrial
1964,41475194,Industrial
1965,40475260,Industrial
1966,44826863,Industrial
1967,49828456,Industrial
1968,55617156,Industrial
