Country,Code,AvgAquaculture,AvgFisheries,AvgConsumption
Afghanistan,AFG,992,980,0
Albania,ALB,1195,6133,3
Algeria,DZA,492,76279,3
Angola,AGO,295,327914,17
Antigua and Barbuda,ATG,10,3746,54
Argenti,ARG,1052,623193,7
Armenia,ARM,4809,1468,2
Australia,AUS,27589,177038,19
Austria,AUT,2465,1136,10
Azerbaijan,AZE,572,7746,2
Bahamas,BHS,13,9559,23
Bangladesh,BGD,521566,898962,12
Barbados,BRB,11,2322,40
Belarus,BLR,9099,885,12
Belgium,BEL,581,25418,24
Belize,BLZ,3394,86655,13
Benin,BEN,865,40054,13
Bolivia,BOL,801,36111,2
Bosnia and Herzegovi,BIH,5649,299,5
Botswa,BWA,17,2899,4
Brazil,BRA,131892,689886,7
Brunei,BRN,240,2893,37
Bulgaria,BGR,7287,47767,6
Burki Faso,BFA,96,9592,3
Cada,CAN,66913,1330416,21
Cambodia,KHM,32961,287264,20
Cameroon,CMR,417,119832,13
Central African Republic,CAF,127,17857,6
Chad,TCD,97,101607,6
China,CHN,19184722,8562160,15
Chile,CHL,312140,3413285,14
Colombia,COL,35859,431807,4
Congo,COG,85,45480,26
Costa Rica,CRI,9580,18654,7
Cote d'Ivoire,CIV,1335,73605,16
Croatia,HRV,10213,40536,12
Cuba,CUB,14411,96918,13
Cyprus,CYP,1521,13998,16
Czechia,CZE,19740,4072,9
Denmark,DNK,27291,1349111,22
Dominica,DMA,8,798,27
Dominican Republic,DOM,960,12799,8
Ecuador,ECU,100903,410795,8
Egypt,EGY,275970,236331,10
El Salvador,SLV,2161,29613,5
Estonia,EST,519,99840,17
Eswatini,SWZ,69,63,2
Ethiopia,ETH,38,20508,0
Fiji,FJI,1585,25657,30
Finland,FIN,9539,136355,29
France,FRA,196200,661572,28
French Polynesia,PYF,855,7892,42
Gabon,GAB,61,28920,37
Gambia,GMB,17,32723,24
Georgia,GEO,599,22631,5
Germany,DEU,45508,462192,12
Gha,GHA,6444,315422,27
Greda,GRD,2,1981,29
Greece,GRC,41898,102427,19
Guatemala,GTM,8488,13716,1
Guinea,GIN,103,102666,10
Guinea-Bissau,GNB,1,4430,3
Guya,GUY,235,55197,38
Haiti,HTI,450,13233,4
Honduras,HND,17301,15022,3
Hong Kong,HKG,5519,156103,55
Hungary,HUN,16772,9418,4
Iceland,ISL,3040,1347148,85
India,IND,1606717,2840546,4
Indonesia,IDN,2364709,3052143,18
Iran,IRN,72846,241912,4
Iraq,IRQ,7512,27124,2
Ireland,IRL,24217,208505,16
Israel,ISR,15508,9598,20
Italy,ITA,113063,340398,19
Jamaica,JAM,1916,13234,25
Japan,JPN,1039318,7251292,61
Jordan,JOR,370,462,5
Kazakhstan,KAZ,1019,38132,4
Kenya,KEN,3312,110882,4
Kiribati,KIR,4333,49746,74
Kuwait,KWT,112,5679,11
Kyrgyzstan,KGZ,367,88,1
Laos,LAO,29110,26525,11
Latvia,LVA,557,131324,21
Lebanon,LBN,487,2729,6
Lesotho,LSO,162,24,1
Liberia,LBR,35,11590,9
Lithuania,LTU,2775,119187,35
Madagascar,MDG,6864,107711,7
Malawi,MWI,1178,75321,8
Malaysia,MYS,156550,881452,45
Mali,MLI,849,88202,9
Malta,MLT,1374,1666,23
Mauritius,MUS,203,11252,19
Mexico,MEX,52704,1084082,9
mibia,M,242,454170,12
Moldova,MDA,5603,52,8
Montenegro,MNE,727,1462,11
Morocco,MAR,704,640266,8
Mozambique,MOZ,509,82535,4
Myanmar,MMR,216220,944851,22
Nepal,NPL,12082,9310,1
Netherlands,NLD,85157,367414,16
New Caledonia,NCL,767,2772,18
New Zealand,NZL,46221,298451,20
Nicaragua,NIC,6329,19675,3
Niger,NER,70,21127,1
Nigeria,NGA,56157,352126,9
North Korea,PRK,466768,438142,23
North Macedonia,MKD,1008,193,5
Norway,NOR,351218,2619598,46
Oman,OMN,107,158729,26
Pakistan,PAK,41259,375057,2
Pama,PAN,3576,155424,12
Paraguay,PRY,2159,20497,4
Peru,PER,22637,6299179,20
Philippines,PHL,926057,1624498,32
Poland,POL,23117,390576,11
Portugal,PRT,4863,322833,54
Romania,ROU,21700,61897,5
Russia,RUS,110542,4098532,20
Rwanda,RWA,366,7812,2
Saint Kitts and Nevis,K,1,9338,30
Saint Lucia,LCA,21,1561,25
Saint Vincent and the Gredines,VCT,1,40559,18
Samoa,WSM,1,5037,40
Saudi Arabia,SAU,6830,42314,7
Senegal,SEN,206,338565,25
Serbia,SRB,6877,3601,6
Sierra Leone,SLE,28,95999,22
Slovakia,SVK,1208,1685,8
Slovenia,SVN,1213,1416,9
Solomon Islands,SLB,2505,45644,39
South Africa,ZAF,3111,866255,8
South Korea,KOR,777843,1705080,43
Spain,ESP,209120,1144665,37
Sri Lanka,LKA,4833,229222,18
Sudan,SDN,7000,34687,1
Surime,SUR,60,16979,17
Sweden,SWE,5225,265502,28
Switzerland,CHE,861,2670,14
Tajikistan,TJK,398,441,0
Tanzania,TZA,3717,344913,9
Thailand,THA,486979,1976488,23
Timor,TLS,825,3371,5
Togo,TGO,50,19930,11
Trinidad and Tobago,TTO,12,13338,17
Tunisia,TUN,2458,73157,9
Turkey,TUR,55986,382533,6
Turkmenistan,TKM,387,14166,3
Uganda,UGA,22464,259729,12
Ukraine,UKR,30299,263880,13
United Arab Emirates,ARE,273,74353,22
United Kingdom,GBR,80691,883703,19
United States,USA,325252,4392542,19
Uruguay,URY,27,87655,6
Uzbekistan,UZB,13051,7557,1
Vanuatu,VUT,11,46908,35
Venezuela,VEN,7790,293425,13
Vietm,VNM,802745,1218582,19
Yemen,YEM,30,98224,5
Zambia,ZMB,4928,79954,9
Zimbabwe,ZWE,2074,54835,2
